Procedure,Task,Human*,TARS,TARS*,Human,Observability,Predictability,Directability
Engine Fire Emergency Procedure,"""Affected engine fuel boost confirm off then norm""",green,red,red,,High,Medium,Low
Engine Fire Emergency Procedure,"""off then norm""",yellow,yellow,green,,High,High,Medium
Engine Fire Emergency Procedure,fuel boost off,green,red,red,,High,Low,Not Applicable
Engine Fire Emergency Procedure,fuel boost norm,green,red,red,,High,Medium,Low
Engine Fire Emergency Procedure,check light after 30 seconds,yellow,yellow,green,,High - The autonomous agent should be able to observe the status of the light and the time elapsed since the initiation of the procedure. The human pilot should be able to observe the status of the autonomous agent's actions and intentions through a clear and intuitive interface.,High - The autonomous agent should follow a predictable pattern of checking the light after 30 seconds. The human pilot should be able to anticipate this action based on the agent's programming and the current situation.,"Medium - The human pilot should be able to direct the autonomous agent to check the light after 30 seconds. However, the autonomous agent should also have the ability to perform this task autonomously if the pilot is unable to give the command due to other tasks or emergencies. The agent's ability to take direction from the pilot may be limited by the urgency of the situation and the need to follow safety protocols."
Engine Fire Emergency Procedure,"""30 seconds, light remains on, bottle discharge""",yellow,yellow,green,,"High - The autonomous agent must be able to observe and understand the status of the engine fire warning light and the bottle discharge system. It should be able to perceive the actions of the human pilot in response to the emergency and monitor the status of the engine fire warning light and bottle discharge system. Similarly, the human pilot should be able to observe and understand the actions and intentions of the autonomous agent, including its status and the actions it is taking or planning to take in response to the emergency.","High - The autonomous agent must be able to predict the actions of the human pilot in response to the engine fire emergency procedure, including the timing and sequence of actions. This includes predicting when the human pilot will discharge the bottle if the light remains on for 30 seconds. Similarly, the human pilot should be able to predict the actions and intentions of the autonomous agent, including when and how it will intervene to support the engine fire emergency procedure.","Medium - The autonomous agent should be able to influence the actions of the human pilot to ensure the correct execution of the engine fire emergency procedure, including the timing of the bottle discharge. However, the human pilot should retain ultimate control and decision-making authority during the emergency. Conversely, the human pilot should be able to direct the actions of the autonomous agent as needed, but the agent's ability to independently execute the procedure can also enhance reliability."
Engine Fire Emergency Procedure,"""discharge""",green,red,red,,High,Low,Low
Engine Fire Emergency Procedure,illuminated bottle armed switch push,green,red,red,,High,Medium,Low
Engine Fire Emergency Procedure,Turn rotary test knob,green,red,red,,High,Medium,Low
Engine Fire Emergency Procedure,Check engine fire lights both illuminate,green,red,red,,High,Low,Low
Engine Fire Emergency Checklist,Order start checklist,yellow,yellow,green,,"High - The autonomous agent needs to have a high level of observability in this task. It must be able to perceive the actions and status of the human pilot and the aircraft's systems to effectively execute the ""Order start checklist"" task. It should be able to monitor the pilot's actions, the status of the engine, and the completion of the checklist items. The pilot should also be able to observe the actions and status of the autonomous agent to ensure it is performing the task correctly.","High - The autonomous agent's actions should be highly predictable to the human pilot. The pilot should be able to anticipate what the autonomous agent will do next in the ""Order start checklist"" task. This includes the order in which the checklist items will be executed and the actions the agent will take in response to the pilot's actions or changes in the aircraft's status. The pilot's actions should also be predictable to the autonomous agent to allow it to effectively support the pilot in the task.","Medium - The level of directability required for the autonomous agent in this task is medium. The pilot should be able to influence the actions or decisions of the autonomous agent, such as changing the order of the checklist items or overriding the agent's actions. However, the autonomous agent should also have some autonomy to perform the task based on its understanding of the situation and the pilot's actions. The pilot's directability by the autonomous agent is unknown, but it is assumed that the pilot will follow the checklist and the agent's instructions."
Engine Fire Emergency Checklist,Allocate radio,green,red,red,,Low,High,Low
Engine Fire Emergency Checklist,Retrieve checklist,yellow,green,green,,"High - The autonomous agent must be able to observe the actions of the human pilot in real-time, including the pilot's ability to retrieve and follow the Engine Fire Emergency Checklist. This includes observing the pilot's physical actions, as well as any changes in the aircraft's status that may indicate the pilot's actions. The human pilot should also be able to observe the autonomous agent's actions, including its ability to retrieve the checklist and its status in relation to the checklist.","High - The autonomous agent should be able to predict the human pilot's actions based on the current situation and the pilot's previous actions. This includes predicting whether the pilot will be able to retrieve and follow the checklist in a timely manner. The human pilot should also be able to predict the autonomous agent's actions, including its ability to retrieve the checklist and its subsequent actions.","Medium - The autonomous agent should be able to influence the human pilot's actions to some degree, such as reminding the pilot to retrieve the checklist or providing assistance in following the checklist. However, the final decision and action should still lie with the human pilot. The human pilot should also have some degree of influence over the autonomous agent's actions, such as directing it to retrieve the checklist or assist in following the checklist."
Engine Fire Emergency Checklist,Check immediate action items done,green,red,red,,High,Medium,Low
Engine Fire Emergency Checklist,"""immediate action checked, current checklist completed, checklist to refer next : precautionary shutdown",green,red,red,,High,High,Low
Engine Fire Emergency Checklist,Contact ATC to announce emergency and request vector,yellow,green,orange,orange,"High - The autonomous agent should be able to perceive the actions and status of the human pilot, such as recognizing when the pilot is unable to perform the task due to stress or workload. It should also be able to observe the status of the avionics systems, such as autopilot and FMS, and the emergency condition. The human pilot should be able to perceive the actions and intentions of the autonomous agent, such as when it is contacting ATC to announce the emergency and request vector.","High - The autonomous agent should be able to anticipate the actions of the human pilot, such as when the pilot is about to perform a task in the Engine Fire Emergency Checklist. The human pilot should also be able to anticipate the actions of the autonomous agent, such as when it is about to contact ATC to announce the emergency and request vector.","Medium - The autonomous agent should be able to influence the actions or decisions of the human pilot, such as when it suggests the best course of action during the emergency. However, the final decision should always be with the human pilot. The human pilot should be able to direct the actions of the autonomous agent, such as when to contact ATC to announce the emergency and request vector."
Engine Fire Emergency Checklist,Listen ATC,yellow,green,red,,"High - The autonomous agent should be able to observe and understand the actions and intentions of the human pilot, especially in an emergency situation like an engine fire. This includes monitoring the pilot's communication with ATC, understanding the status of the emergency, and tracking the pilot's actions in response to the emergency. The autonomous agent should also be able to observe the status of the aircraft's controls and instruments, except those reserved for human use.","Medium - In an emergency situation, the pilot's actions may be less predictable due to stress and the need for quick decision-making. However, the autonomous agent should still be able to predict the pilot's actions to a reasonable degree based on standard emergency procedures and the pilot's previous actions. The agent's own actions should be highly predictable to the pilot, to ensure smooth cooperation and avoid adding to the pilot's stress.","Low - The autonomous agent's ability to influence the pilot's actions or decisions may be limited, especially in an emergency situation. The pilot is likely to rely on their own judgement and training, and may not be receptive to suggestions or instructions from the agent. However, the agent should still be able to provide useful information and support to the pilot, such as issuing calls to ATC or checking the status of controls and instruments."
Engine Fire Emergency Checklist,Acknowledge transmission,green,red,red,,"High - The autonomous agent needs to be able to observe and understand the actions of the human pilot, specifically when the pilot acknowledges the transmission. This can be achieved by monitoring the pilot's actions and the status of the communication systems.","Low - Since the autonomous agent is not involved in the task of acknowledging the transmission, the predictability requirement is low. The agent does not need to anticipate the pilot's actions in this specific task as it is not providing any assistance.","Low - As the autonomous agent is not involved in the task of acknowledging the transmission, the directability requirement is also low. The pilot does not need to influence the actions or decisions of the agent in this specific task."
Engine Fire Emergency Checklist,Set heading accordingly,yellow,yellow,red,,"High - The autonomous agent needs to have a high level of observability in order to monitor the actions of the human pilot accurately. This includes tracking the pilot's actions in setting the heading, understanding the current status of the aircraft's heading, and identifying any deviations from the required heading. The human pilot also needs to be able to observe the autonomous agent's actions and status, such as whether it is actively monitoring the heading and if it is ready to assist if needed.","Medium - The autonomous agent should have a medium level of predictability. The agent should be able to predict the pilot's actions to a reasonable extent, such as when the pilot is likely to adjust the heading. However, due to the dynamic nature of emergency situations, there may be unpredictable elements in the pilot's actions. The pilot, on the other hand, should be able to predict the agent's actions, such as when it will intervene to assist with setting the heading.","High - The autonomous agent needs a high level of directability. In an emergency situation, the pilot should be able to direct the agent to perform certain tasks or to assist with setting the heading. The agent should be able to respond to these directions promptly and accurately. Similarly, the agent should be able to direct the pilot to perform certain actions if necessary, such as adjusting the heading to a specific value."
Engine Fire Emergency Checklist,Set FLC accordingly,yellow,yellow,red,,High,Medium,Low
After takeoff normal procedure,Announce start checklist,yellow,yellow,green,,"High - The autonomous agent must be able to perceive the actions, intentions, and status of the human pilot. This includes understanding when the pilot has completed the takeoff and is ready to start the after takeoff checklist. The human pilot also needs to be able to observe the actions of the autonomous agent, such as when it announces the start of the checklist.","High - The autonomous agent must be able to anticipate when the pilot will be ready to start the after takeoff checklist, based on the completion of the takeoff procedure. The human pilot needs to be able to predict when the autonomous agent will announce the start of the checklist, so they can be prepared to perform the tasks on it.","Medium - The autonomous agent should be able to be directed by the human pilot, such as when to start the checklist. However, the agent also needs to have the ability to initiate the checklist on its own if the pilot fails to do so. The pilot's ability to direct the agent may be limited, as they may not always be aware of the optimal timing for starting the checklist."
After takeoff normal procedure,Retrieve checklist,green,green,green,,"High - The autonomous agent should be able to perceive the actions and intentions of the human pilot, such as when the pilot is about to retrieve the checklist. This can be achieved through the agent's access to avionics systems and its ability to monitor the status of controls and instruments. The human pilot should also be able to observe the actions of the autonomous agent, such as when it is retrieving the checklist, through visual or auditory cues.","High - The autonomous agent should be able to anticipate the pilot's next actions based on the current stage of the flight and the pilot's previous actions. For example, after takeoff, the agent should predict that the pilot will retrieve the checklist. The pilot should also be able to predict the actions of the autonomous agent, such as when it will retrieve the checklist, based on the agent's programmed procedures.","Medium - The autonomous agent should be able to influence the pilot's actions, such as reminding the pilot to retrieve the checklist if the pilot forgets. However, the pilot should have ultimate control over the flight and should be able to override the agent's decisions if necessary. The pilot's ability to direct the autonomous agent is high, as the pilot can command the agent to retrieve the checklist."
After takeoff normal procedure,Landing gear up,green,green,red,,"High - The autonomous agent should be able to observe the actions of the human pilot, including the act of raising the landing gear. This can be achieved through the agent's access to the avionics systems, which should provide it with information about the status of the landing gear. The human pilot should also be able to observe the actions and intentions of the autonomous agent, such as the agent's checks on the status of the controls and instruments.","High - The autonomous agent should be able to predict the actions of the human pilot, such as the raising of the landing gear after takeoff, as this is a standard procedure. Similarly, the human pilot should be able to predict the actions of the autonomous agent, such as its checks on the status of the controls and instruments.","Medium - The autonomous agent should be able to influence the actions of the human pilot to some extent, such as by reminding the pilot to raise the landing gear after takeoff if this has not been done. However, the agent cannot perform this task itself. The human pilot should be able to direct the actions of the autonomous agent, such as by instructing it to check the status of certain controls or instruments. However, the agent's ability to influence the pilot's actions may be limited by the pilot's experience and judgement."
After takeoff normal procedure,Flap handle up,green,green,red,,High,High,Low
After takeoff normal procedure,Throttles CLB detent,green,red,red,,High,High,Low
After takeoff normal procedure,Yaw damper as desired,yellow,green,yellow,yellow,"High - The autonomous agent should be able to perceive the actions, intentions, and status of the human pilot. This includes understanding when the human pilot is engaging the yaw damper, how they are using it, and what their intentions are with its use. Similarly, the human pilot should be able to observe the autonomous agent's actions and status, including when it is engaging the yaw damper and how it is using it.","High - The autonomous agent should be able to anticipate the human pilot's next actions, such as when they are likely to engage the yaw damper during the after takeoff procedure. Similarly, the human pilot should be able to predict when the autonomous agent will engage the yaw damper, based on the current flight conditions and the standard operating procedure.","Medium - The autonomous agent should be able to influence the human pilot's actions, such as suggesting when to engage the yaw damper based on flight conditions. However, the final decision should rest with the human pilot. Similarly, the human pilot should be able to direct the autonomous agent, such as instructing it to engage the yaw damper. However, the autonomous agent should also have the capability to refuse or suggest alternatives if the instruction is unsafe or against standard operating procedures."
After takeoff normal procedure,Deice as required,yellow,green,yellow,yellow,"High - The autonomous agent should be able to monitor the status of the deicing system and the conditions that might necessitate its use (such as temperature, humidity, and altitude). Similarly, the human pilot should be able to see what the AI is doing, including when it decides to activate the deicing system and why. This could be achieved through a display on the cockpit interface that shows the AI's current actions and status.","Medium - The AI should follow a set of pre-programmed procedures for when to activate the deicing system, based on certain conditions. This will make its actions somewhat predictable to the human pilot. However, the unpredictability of weather conditions and the potential for system malfunctions mean that the AI may sometimes need to make decisions that the pilot does not anticipate.","High - The human pilot should have the ability to override the AI's decisions if necessary. This could be important in emergency situations or if the pilot has information that the AI does not. Conversely, the AI should be able to suggest actions to the pilot, particularly if the pilot appears to be missing important cues or making errors. The interface should facilitate this two-way communication and control."
After takeoff normal procedure,Pax safety switch as required,yellow,green,yellow,yellow,High - The autonomous agent needs to be able to observe and understand the status of the Pax safety switch and whether the human pilot has engaged it as required in the After takeoff normal procedure. This includes being able to perceive the actions and intentions of the human pilot in relation to this task.,"Medium - The autonomous agent needs to be able to anticipate the actions of the human pilot in relation to the Pax safety switch, but given the nature of the task, there may be some variability in when and how the pilot chooses to engage the switch.","High - Given the critical nature of the Pax safety switch in ensuring passenger safety, the autonomous agent needs to have a high degree of influence over the actions of the human pilot. If the agent perceives that the pilot has not engaged the switch as required, it needs to be able to prompt or remind the pilot to do so. Conversely, the human pilot should also be able to direct the autonomous agent to check the status of the switch or to engage it if necessary."
After takeoff normal procedure,Pressurization check,yellow,green,yellow,yellow,"High - The autonomous agent should be able to perceive the actions and status of the human pilot and the pressurization system. It should be able to monitor the system status and the pilot's actions related to the pressurization check. Similarly, the pilot should be able to perceive the actions and status of the autonomous agent, including any alerts or messages it generates related to the pressurization check.","High - The autonomous agent should be able to anticipate the pilot's actions related to the pressurization check, based on the standard procedure and the current status of the pressurization system. The pilot should also be able to anticipate the actions of the autonomous agent, based on its programming and the current status of the pressurization system.","Medium - The autonomous agent should be able to influence the pilot's actions related to the pressurization check, by providing alerts or suggestions based on the system status. However, the pilot should have the final decision-making authority and be able to override the autonomous agent if necessary. Similarly, the pilot should be able to direct the actions of the autonomous agent, but the agent may also have some autonomy in carrying out the pressurization check, within the limits set by its programming and safety protocols."
After takeoff normal procedure,Alti set STD,yellow,yellow,green,,"High - The autonomous agent should be able to perceive the actions and intentions of the human pilot, especially in setting the altimeter to standard (STD). This includes monitoring the pilot's interactions with the altimeter and other relevant instruments. The human pilot should also be able to observe the actions of the autonomous agent, including any changes it makes to the altimeter setting or other flight controls.","High - The autonomous agent should be able to anticipate the human pilot's actions, particularly when it comes to setting the altimeter to standard after takeoff. The pilot should also be able to predict the actions of the autonomous agent, especially if it is programmed to automatically adjust the altimeter setting under certain conditions.","Medium - The human pilot should have the ability to influence the actions of the autonomous agent, such as overriding its control of the altimeter if necessary. However, the autonomous agent's ability to direct the human pilot may be limited, as the pilot has ultimate control over the aircraft and its systems. The autonomous agent can suggest or advise, but the final decision rests with the human pilot."
After takeoff normal procedure,Crosscheck alti,yellow,yellow,green,,"High - The autonomous agent should be able to observe and monitor the altitude and any changes made by the human pilot. The pilot should also be able to observe the actions of the autonomous agent, including any altitude adjustments or alerts it may issue.","High - The autonomous agent should be able to predict the pilot's actions based on the current altitude and the flight plan. The pilot should also be able to predict the actions of the autonomous agent, including when it will crosscheck the altitude and issue any necessary alerts.","Medium - The autonomous agent should be able to direct the pilot to adjust the altitude if necessary, but the final decision should always rest with the human pilot. The pilot should also be able to direct the autonomous agent to crosscheck the altitude at specific times or intervals. However, the autonomous agent should have the ability to override the pilot's direction in emergency situations to ensure the safety of the flight."
After takeoff normal procedure,Announce checklist completed,green,green,green,,"High - The autonomous agent should be able to observe the status of the checklist completion through the avionics systems. It should be able to perceive when the pilot has completed the checklist and is ready to proceed to the next step of the procedure. The pilot should also be able to observe the status of the autonomous agent's actions, such as whether it has acknowledged the completion of the checklist.","High - The autonomous agent should be able to predict that once the checklist is completed, the pilot will announce it. Similarly, the pilot should be able to predict that the autonomous agent will acknowledge the completion of the checklist and be ready to proceed to the next step of the procedure.","Moderate - The autonomous agent should be able to influence the pilot's actions by reminding him to complete the checklist if it is not done in a timely manner. However, the pilot has the final say on when to complete the checklist and when to announce its completion. The pilot should also be able to direct the autonomous agent to check the status of the controls and instruments."
Engine failure/precautionary shutdown procedure and checklist,Announce start checklist,yellow,yellow,green,,"High - The autonomous agent should be able to observe the actions of the human pilot and the status of the aircraft's systems. The human pilot should be able to perceive the actions and intentions of the autonomous agent, especially when it is announcing the start checklist. The interface should provide clear and concise information about the status of the checklist and the actions taken by the agent.","High - The autonomous agent should be able to predict the actions of the human pilot based on the current situation and the pilot's previous actions. The human pilot should be able to anticipate what the autonomous agent will do next, especially when it comes to announcing the start checklist and executing the engine failure/precautionary shutdown procedure. The agent's actions should follow a logical sequence that is understandable to the pilot.","Medium - The autonomous agent should be able to influence the actions of the human pilot by providing clear and timely instructions. However, the human pilot should have the final say in all decisions, especially in emergency situations. The pilot should be able to override the autonomous agent's actions if necessary. The agent should also be able to accept and execute commands from the pilot, but it should have some level of autonomy to handle situations when the pilot is unable to perform certain tasks."
Engine failure/precautionary shutdown procedure and checklist,Retrieve checklist,green,green,green,,"High - The autonomous agent should be able to perceive the actions and status of the human pilot, such as when the pilot is busy or incapacitated, and should be able to detect when the engine failure/precautionary shutdown procedure and checklist is needed. The human pilot should also be able to observe the actions and status of the autonomous agent, such as when it is retrieving the checklist.","High - The autonomous agent should be able to anticipate when the human pilot will need the checklist, such as in the event of engine failure. The human pilot should also be able to predict the actions of the autonomous agent, such as when it will retrieve the checklist.","Moderate - The autonomous agent should be able to influence the actions of the human pilot, such as prompting them to perform certain tasks in the checklist. However, the human pilot should have ultimate control and be able to override the autonomous agent if necessary. The human pilot's ability to direct the autonomous agent is assumed to be high, as they should be able to command it to retrieve the checklist when needed."
Engine failure/precautionary shutdown procedure and checklist,Throttle affected engine cutoff,yellow,yellow,red,,"High - The autonomous agent needs to be able to observe the actions and status of the human pilot and the engine systems in real-time to identify when the throttle affected engine cutoff task needs to be initiated. This includes monitoring the engine status, pilot's actions, and any relevant alerts or warnings.","Medium - The autonomous agent's actions should be predictable to the human pilot. However, in an emergency situation like an engine failure, the exact sequence of events can vary based on numerous factors. The agent should communicate its intentions clearly to the pilot, but the pilot must also be prepared for some level of unpredictability due to the nature of the situation.","High - The human pilot should have a high degree of control over the autonomous agent's actions. Even though the agent can support the pilot by initiating the throttle affected engine cutoff task, the pilot should be able to override the agent's actions if necessary. This is crucial for ensuring safety and trust in the autonomous system."
Engine failure/precautionary shutdown procedure and checklist,Caution text readout,green,,green,,High,High,Medium
Engine failure/precautionary shutdown procedure and checklist,Gen switch affected side OFF,yellow,yellow,red,,"High - It is crucial for the autonomous agent to be able to observe and understand the status of the generator switch and the actions of the human pilot. The agent needs to be able to monitor the status of the switch, the actions of the pilot, and the overall status of the aircraft systems to ensure that the procedure is being followed correctly and to provide support when necessary.","Medium - The actions of the human pilot may not always be predictable, especially in a high-stress situation such as an engine failure. However, the autonomous agent should be able to anticipate some actions based on the procedure and checklist, and should be programmed with a set of possible actions that the pilot might take in this situation.","Low - As the autonomous agent cannot perform the task of turning off the generator switch, its ability to direct the actions of the human pilot is limited. However, the agent can provide guidance and reminders to the pilot about the procedure, and can alert the pilot if the switch is not turned off when it should be. The agent can also take over other tasks to allow the pilot to focus on the generator switch."
Engine failure/precautionary shutdown procedure and checklist,Ignition switch affected side NORM,yellow,yellow,red,,"High - The autonomous agent needs to have a high level of observability to monitor the human pilot's actions and the status of the ignition switch on the affected side. It should be able to perceive whether the pilot has set the switch to NORM or not, and if the pilot is struggling or forgetting to do so.","Medium - The autonomous agent should have a certain level of predictability to anticipate the pilot's actions. However, since the agent cannot perform the task itself, it does not need to predict the exact moment when the pilot will perform the task. It should, however, be able to predict potential issues or errors the pilot might encounter based on the current situation and the pilot's past performance.","Low - The autonomous agent cannot perform the task itself, so the pilot's ability to direct the agent is not crucial in this task. However, the agent should be able to provide support, such as reminding the pilot to set the ignition switch to NORM or alerting the pilot if the switch is not set correctly."
Engine failure/precautionary shutdown procedure and checklist,Electrical load reduce as required,yellow,green,red,,High - The autonomous agent needs to have a high level of observability in this task. It needs to be able to monitor the electrical load and the status of the engine continuously. It should be able to perceive the actions of the human pilot in reducing the electrical load and understand the status of the electrical systems. The human pilot also needs to be aware of the autonomous agent's actions and recommendations.,"Medium - The autonomous agent's actions should be predictable to the human pilot. It should follow a set of predefined rules and procedures to assist the pilot in reducing the electrical load. However, the human pilot's actions may not be as predictable, as they may depend on the specific circumstances of the flight and the pilot's judgement.","Medium - The autonomous agent should be able to influence the human pilot's actions by providing recommendations and alerts. However, the final decision on how to reduce the electrical load should be made by the human pilot. The autonomous agent should also be able to adjust its actions based on the pilot's instructions."
Engine failure/precautionary shutdown procedure and checklist,Fuel transfer knob as required,yellow,green,red,,"High - The autonomous agent needs to be able to observe the human pilot's actions and status, especially in relation to the fuel transfer knob. It should be able to perceive if the pilot is struggling with the task or if the task has been completed successfully. This can be achieved through monitoring of the pilot's physical movements and the status of the fuel transfer knob.","Medium - The autonomous agent should be able to anticipate the pilot's actions to some extent, especially in emergency situations. However, given the complexity and variability of human behavior, it may not always be able to accurately predict what the pilot will do next. The agent should be designed to handle unexpected actions from the pilot.","Low - The autonomous agent cannot perform the task of manipulating the fuel transfer knob, so its ability to directly influence the pilot's actions in this regard is limited. However, it can support the pilot by providing information, reminders or suggestions. The pilot, on the other hand, should have high directability over the autonomous agent, being able to command it to perform certain actions or to stop performing others."
Engine failure/precautionary shutdown procedure and checklist,Verify engine fire switch affected side is pushed,yellow,yellow,red,,"High - The autonomous agent needs to be able to observe and understand the actions of the human pilot, specifically whether the engine fire switch for the affected side has been pushed or not. This is crucial to ensure the correct procedure is followed during an engine failure or precautionary shutdown.","Medium - The autonomous agent should be able to predict the pilot's actions to a certain extent, especially in emergency situations. However, given the complex and sometimes unpredictable nature of human behavior, it may not always be possible for the agent to accurately predict the pilot's actions.","High - The autonomous agent should be able to influence the pilot's actions, especially in critical situations where the pilot may be under stress or unable to perform the necessary actions. The agent should be able to provide guidance and support to the pilot, ensuring that the correct procedures are followed for engine failure or precautionary shutdown."
Engine failure/precautionary shutdown procedure and checklist,"Announce current checklist completed, checklist to refer next single engine approach and landing",green,green,green,,High - The autonomous agent needs to have a high level of observability to accurately perceive the actions and status of the human pilot. It should be able to monitor the completion status of the current checklist and the readiness of the pilot for the next single engine approach and landing checklist. It should also be able to observe the status of the avionics systems and other relevant controls and instruments.,High - The autonomous agent should be highly predictable in its actions to ensure the safety and efficiency of the flight. The human pilot should be able to anticipate when the agent will announce the completion of the current checklist and the reference to the next one. The agent should also follow a predictable pattern in checking the status of the controls and instruments and in issuing calls to ATC.,"Medium - The autonomous agent should have a medium level of directability. While it should be able to perform tasks independently, it should also be responsive to the directions of the human pilot. For instance, the pilot should be able to direct the agent to delay the announcement of the completion of the current checklist or the reference to the next one if necessary. However, the agent should also have the autonomy to perform certain tasks without the need for direct human control, such as checking the status of the controls and instruments."
